trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.38374077150064,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,9,-103.97159123408436,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 1}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.90939471442903,"{0: 10, 1: 5, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.4665402057164,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.9074870922618,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-281.6527431048297,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.4182128473804,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.38063486234114,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,4,-20.58500900098965,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,13,-25.55056357428864,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.07631302655125,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.92505643947294,"{0: 19, 1: 3, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.49857637076965,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.96047221838272,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.211558724900627,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,5,-56.044140952182886,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-204.5044547694797,"{0: 16, 1: 4, 2: 6, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-201.05483912934608,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.4597332068202,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.2783990444911,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-56.67929435242688,"{0: 26, 1: 3, 2: 5, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.38662972614887,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.97841073352696,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.5238149456657,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.57056118133056,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-23.491271995082904,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.46549146957605,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-144.49393218223253,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.0446590322361,"{0: 9, 1: 9, 2: 4, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-182.5138713259679,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
