trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-110.5632695920365,"{0: 15, 1: 5, 2: 2, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,0,-204.59172569012878,"{0: 7, 1: 2, 2: 6, 3: 3, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",20,0,-77.1624806336121,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",20,0,-39.46933179133308,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",25,3,-54.67568571490055,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,0,-148.5613252078055,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-94.73971169984736,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,2,-98.97943055172253,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",25,0,-62.171050141117966,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,-76.59644972211701,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",25,0,-109.21271417636747,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,0,-101.97857375571033,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",25,5,-34.48268254234983,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,0,-85.4118221086126,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",20,2,-31.814089861980516,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.44012666865176525}",30,0,-64.85685883752342,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.41812033521917696}",25,13,6.017546210957329,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.3972143184582181}",30,7,13.830512675009626,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.37735360253530714}",20,0,-65.27496425271315,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.35848592240854177}",25,7,4.598330382361599,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.34056162628811465}",20,0,-12.895226988913095,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.3235335449737089}",25,0,16.682372158894008,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.30735686772502346}",25,0,31.13396124391992,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.2919890243387723}",25,16,3.951911837931272,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.27738957312183365}",20,16,8.173983332619489,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.263520094465742}",25,0,22.0853388383428,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.25034408974245487}",20,0,15.442104406685367,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.2378268852553321}",20,13,13.399729795106094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.2259355409925655}",20,2,31.05651310597226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.2146387639429372}",20,8,8.745181761988096,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.20390682574579033}",30,21,10.756191200241712,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.1937114844585008}",20,3,-7.2767392599764635,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.18402591023557577}",25,1,26.840869739960258,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.17482461472379698}",25,9,17.141763068041374,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.16608338398760714}",25,4,11.874407351146015,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.15777921478822676}",20,0,-56.727631139577205,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.14989025404881542}",25,11,12.11294736464027,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.14239574134637464}",25,0,-114.95351833869562,"{0: 20, 1: 0, 2: 0, 3: 3, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.1352759542790559}",35,15,-29.694224599108047,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
