trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-72.67675608109158,"{0: 17, 1: 5, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9025}",20,0,-93.33010991572004,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8573749999999999}",25,0,-137.40680513923616,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.8145062499999999}",25,8,-89.01855631543803,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7737809374999999}",25,0,-176.39166949723767,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.7350918906249998}",20,10,-80.02462940646478,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6983372960937497}",20,0,-19.750001565155713,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.6634204312890623}",20,0,-76.42549367069988,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6302494097246091}",20,0,-62.22389052949783,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.5987369392383786}",20,0,3.7658378627133553,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.5688000922764596}",30,0,-85.71000310869684,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.5403600876626365}",25,0,-116.81891566790253,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.5133420832795047}",20,0,-114.83510790547084,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.48767497911552943}",20,14,-0.42495632430196384,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.46329123015975293}",35,0,-110.78650218915926,"{0: 26, 1: 0, 2: 7, 3: 0, 4: 2}",0
