trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.62085198206868,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-6.903945789775194,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.29781246186955,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.22904812513943,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.6673827463728,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.94546452534658,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.17106443193433,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.11311294762322,"{0: 11, 1: 2, 2: 11, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,7,-64.36763481725245,"{0: 5, 1: 4, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.95204809885745,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-134.81018658272347,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.675499376207526,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.56790560855114,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.05454454495953,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,16,9.123399588611452,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.01149868034448,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.24547147556001,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.83163426874498,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.51169786139775,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-294.64162121821755,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-153.95795789401785,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.26307084001654,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.450060156624744,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.88405075664559,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-92.99472284362173,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-199.75930283853378,"{0: 7, 1: 3, 2: 7, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.45084090535923,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-129.40202255439863,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.57317751038457,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-217.91861253544968,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0
